Unnamed: 0,term,pos,definition,domain,plural,plurality_of_term,obsolete,archaic,abbreviation,abbreviation_for_term,slang,misspelling,misspelling_for_term,initialism,initialism_for_term,vulgar,synonym,synonym_for_term,attribute,property,process,matter,role,measure,units,body,main_noun_nltk,main_noun_maria,field
17224,dermatopathology,Noun,"The study of cutaneous diseases at a microscopic level. 2009 May 3, Emily Murphy, James Beaver, in New York Times[1]:Her father is a professor of pathology at Harvard Medical School and the director of dermatopathology at Brigham and Womens Hospital in Boston.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
17265,dermatovenereology,Noun,The study of the effects of sexually transmitted disease on the skin,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
17771,descriptive ethics,Noun,"The study of people's beliefs about morality, in contrast to normative ethics and metaethics.",ethics,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
20695,developmental biology,Noun,The study of the physiological changes that occurs within individual organisms from their conception through reaching physical maturity.,biology,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
21789,diabetology,Noun,The study of the diagnosis and treatment of diabetes,medicine,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
21836,diabology,Noun,The study of the Devil in religion.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
21892,diachrony,Noun,"The study of change over time, especially changes to language",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
21913,diaconiology,Noun,The study of the offices and hierarchy of a particular church (organization).,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
21916,diacoustics,Noun,The science concerned with the properties of sound as affected by passing through different mediums; diaphonics.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,science,science,True
22143,diagrammatics,Noun,The study of the use of diagrams,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
