Unnamed: 0,term,pos,definition,domain,plural,plurality_of_term,obsolete,archaic,abbreviation,abbreviation_for_term,slang,misspelling,misspelling_for_term,initialism,initialism_for_term,vulgar,synonym,synonym_for_term,attribute,property,process,matter,role,measure,units,body,main_noun_nltk,main_noun_maria,field,disease
28812,black band disease,Noun,"A disease of corals, characterized by complete tissue degradation due to a pathogenic microbial consortium, and causing the coral to develop a black band.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
28874,black canker,Noun,"A disease in turnips and other crops, produced by a species of caterpillar.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
29068,black lung,Noun,"The chronic disease of the lungs, pneumoconiosis, caused by the long-term inhalation of coal dust.",medicine,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
29167,black queen cell virus,Noun,"A viral disease of bees, causing the queen larva to turn black and die.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
29187,black rot,Noun,"A disease of grapevines, attacking the leaves and fruit, caused by the fungus Laestadia bidwellii.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
29188,black rust,Noun,"A disease of wheat, in which a black, moist substance is deposited in the fissures of the grain.",phytopathology,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
29236,black spot,Noun,"A fungal disease among plants, particularly roses, that results in black spots on the leaves.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
29571,blackleg,Noun,A fatal cattle disease caused by the soil-borne bacteria Clostridium chauvoei; symptomatic anthrax,uncountable,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
29793,bladder cancer,Noun,A disease in which abnormal cells multiply without control in the bladder.,oncology,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
30279,blast,Noun,A flatulent disease of sheep.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
30716,bleareye,Noun,"A disease of the eyelids, involving chronic inflammation of the margins, with a gummy secretion of sebaceous matter. (Can we find and add a quotation of Dunglison to this entry?)",medicine,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
31671,blister blight,Noun,A similar disease of some pines caused by Cronartium asclepiadeum.,phytopathology,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
32436,blood spavin,Noun,"A disease of horses consisting of the swelling of a vein on the inside of the hock, from a checking of the blood.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
32966,blouwildebeesoog,Noun,"An African disease of sheep, marked by protrusion of the eye, blindness, and rupture.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
33504,blue-ear pig disease,Noun,"An economically important disease in pigs caused by the Porcine reproductive and respiratory syndrome virus, in genus Arterivirus.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
34097,bluetongue,Noun,"A disease of ruminants, caused by Bluetongue virus of the genus Orbivirus, carried by mosquitos, midges etc",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
35168,bodig,Noun,"Lytico-Bodig disease (Can we find and add a quotation of Robert F. Rogers to this entry?) Oliver Sacks, The Island of the Colour-blind Only by degrees did it become clear to them, and him, that this was an organic malady, an all-too-familiar one, the bodig.",medicine,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
40166,botts,Noun,The disease caused by the maggots of the horse bot fly when they infect the stomach of a horse.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
40841,bovine ephemeral fever,Noun,"A viral disease of cattle, caused by species of genus Ephemerovirus, transmitted by insects.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
40847,bovine malignant catarrhal fever,Noun,A fatal lymphoproliferative disease that affects bovines.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
40849,bovine papular stomatitis,Noun,A disease in cattle caused by a virus of the family Poxviridae.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
